time,connect,request 
0,138.85205078125, 
10,138.85205078125,7119.869873046875 
20,138.85205078125,7177.406982421875 
30,138.85205078125,7177.406982421875 
40,138.85205078125,7177.406982421875 
50,138.85205078125,7205.177001953125 
60,138.85205078125,7205.177001953125 
70,67244.52416992188,7992.68017578125 
80,67244.52416992188,74215.74389648438 
90,67244.52416992188,74215.74389648438 
100,67244.52416992188,74215.74389648438 
110,67469.24487304688,74215.74389648438 
120,67469.24487304688,74215.74389648438 
130,67469.24487304688,74215.74389648438 
140,67531.41381835938,74215.74389648438 
150,75568.0830078125,81924.208984375 
160,75573.65087890625,82414.92407226563 
170,75573.65087890625,125629.02783203125 
180,142990.49096679688,125629.02783203125 
190,142990.49096679688,149956.416015625 
200,142990.49096679688,149956.416015625 
210,143340.88403320313,149956.416015625 
220,143340.88403320313,149956.416015625 
230,143340.88403320313,149956.416015625 
240,143340.88403320313,149956.416015625 
250,143340.88403320313,149956.416015625 
260,143340.88403320313,149956.416015625 
270,143340.88403320313,203826.72583007813 
280,143340.88403320313,203826.72583007813 
290,143373.69995117188,203826.72583007813 
300,143373.69995117188,203826.72583007813 
310,143373.69995117188,203826.72583007813 
320,143373.69995117188,203826.72583007813 
330,143373.69995117188,203826.72583007813 
340,143373.69995117188,203826.72583007813 
350,143373.69995117188,203826.72583007813 
360,143373.69995117188,207667.208984375 
370,143373.69995117188,207667.208984375 
380,143373.69995117188,207667.208984375 
390,143373.69995117188,207667.208984375 
400,143373.69995117188,207667.208984375 
410,143373.69995117188,207667.208984375 
420,143373.69995117188,207667.208984375 
430,143373.69995117188,207667.208984375 
440,143373.69995117188,207667.208984375 
450,143373.69995117188,207667.208984375 
460,143373.69995117188,207667.208984375 
470,143373.69995117188,207667.208984375 
480,143373.69995117188,207667.208984375 
490,143373.69995117188,207667.208984375 
500,143373.69995117188,207667.208984375 
510,143373.69995117188,207667.208984375 
520,143373.69995117188,207667.208984375 
524,143373.69995117188,207667.208984375 
