time,connect,request 
0,70.660888671875, 
10,70.660888671875,6894.43408203125 
20,70.660888671875,6894.43408203125 
30,70.660888671875,6894.43408203125 
40,70.660888671875,6894.43408203125 
50,69.216064453125,6755.548828125 
60,69.216064453125,6755.548828125 
70,68.991943359375,6755.548828125 
80,68.991943359375,6755.548828125 
90,68.991943359375,6755.548828125 
100,68.991943359375,6674.453125 
110,68.991943359375,6641.6611328125 
120,68.991943359375,6641.6611328125 
130,68.991943359375,6641.6611328125 
140,68.991943359375,6641.6611328125 
150,68.991943359375,6641.6611328125 
160,68.991943359375,6641.6611328125 
170,68.991943359375,6641.6611328125 
180,68.820068359375,6641.6611328125 
190,68.820068359375,6641.6611328125 
200,68.820068359375,6641.6611328125 
210,68.820068359375,6641.6611328125 
220,68.820068359375,6641.6611328125 
230,68.820068359375,6641.6611328125 
240,68.820068359375,6641.6611328125 
250,68.820068359375,6641.6611328125 
260,68.820068359375,6641.6611328125 
270,68.820068359375,6641.6611328125 
280,68.820068359375,6641.6611328125 
290,68.820068359375,6641.6611328125 
300,68.820068359375,6641.6611328125 
310,68.820068359375,6641.6611328125 
320,68.820068359375,6641.6611328125 
330,68.820068359375,6641.6611328125 
340,68.820068359375,6641.6611328125 
350,68.820068359375,6641.6611328125 
360,68.820068359375,6641.6611328125 
370,68.820068359375,6641.6611328125 
380,68.820068359375,6641.6611328125 
390,68.820068359375,6641.6611328125 
400,68.820068359375,6641.6611328125 
410,68.820068359375,6641.6611328125 
420,68.820068359375,6641.6611328125 
430,68.820068359375,6641.6611328125 
440,68.820068359375,6641.6611328125 
450,68.820068359375,6641.6611328125 
460,68.820068359375,6641.6611328125 
470,68.820068359375,6641.6611328125 
480,68.820068359375,6641.6611328125 
490,68.820068359375,6641.6611328125 
500,68.820068359375,6641.6611328125 
510,68.820068359375,6641.6611328125 
520,68.820068359375,6641.6611328125 
524,68.820068359375,6641.6611328125 
