time,users_count,finish_users_count 
0,0.5,0.1 
10,0.2,0.2 
20,0,0.2 
30,0.1,0 
40,0.4,0.1 
50,0.3,0.3 
60,0.4,0.1 
70,0.8,0.4 
80,0.9,0.5 
90,1.5,0.5 
100,1.1,0.4 
110,1.1,1 
120,1.1,0.5 
130,0.9,0.4 
140,0.5,0.6 
150,0.9,0.9 
160,0.8,0.8 
170,0,0.7 
180,6.9,0.3 
190,3.1,3.8 
200,0,1 
210,0,0.1 
220,0,0.4 
230,0,0.5 
240,0,0.3 
250,0,0.2 
260,0,1.7 
270,0,0.8 
280,0,0.4 
290,0,0.1 
300,0,0 
310,0,1.5 
320,0,0.1 
330,0,0.5 
340,0,0.5 
350,0,0.3 
360,0,0.1 
370,0,0 
380,0,0.1 
390,0,0.4 
400,0,0.1 
410,0,0.3 
420,0,0.2 
430,0,0 
440,0,0 
450,0,0 
460,0,0 
470,0,0 
480,0,0 
490,0,0 
500,0,0 
510,0,0 
520,0,0 
524,0,0.1 
