time,size_rcv,size_sent 
9,0.00520833333333333,0.75 
19,0.00694444444444444,1 
29,0.00954861111111111,1.38194444444444 
39,0.0104166666666667,1.50694444444444 
49,0.0130208333333333,1.88888888888889 
59,0.0130208333333333,1.88888888888889 
69,0.0208333333333333,3.02777777777778 
79,0.0303819444444444,4.41666666666667 
89,0.0338541666666667,4.9375 
99,0.0434027777777778,6.31944444444444 
109,0.0520833333333333,7.70833333333333 
119,0.0642361111111111,9.34722222222222 
129,0.0755208333333333,10.9930555555556 
139,0.0824652777777778,12 
149,0.0954861111111111,14.0208333333333 
159,0.0998263888888889,14.5347222222222 
169,0.0998263888888889,14.5347222222222 
179,0.119791666666667,17.6736111111111 
