time,load@tsung_controller@Wonko-the-Sane 
0,1.6015625 
9,1.54296875 
19,1.54296875 
29,1.54296875 
39,1.50390625 
49,1.46484375 
59,1.46484375 
69,1.46484375 
79,1.40625 
89,1.34375 
99,1.34375 
109,1.3046875 
119,1.18359375 
129,1.18359375 
139,1.18359375 
149,1.18359375 
159,1.18359375 
169,1.18359375 
179,1.18359375 
