time,finish_users_count,users_count 
0,0,3 
9,6,6 
19,8,8 
29,11,11 
39,13,13 
49,15,15 
59,15,15 
69,24,24 
79,35,35 
89,39,39 
99,50,50 
109,61,61 
119,74,74 
129,87,87 
139,95,95 
149,111,111 
159,115,115 
169,115,115 
179,144,145 
