time,users,connected 
0,3, 
9,3,0 
19,3,0 
29,3,0 
39,3,0 
49,3,0 
59,3,0 
69,3,0 
79,3,0 
89,3,0 
99,3,0 
109,3,1 
119,3,-1 
129,3,0 
139,3,0 
149,3,1 
159,3,-1 
169,3,0 
179,5,2 
