time,request,connect 
9,127.452880859375,60.461181640625 
19,127.452880859375,60.461181640625 
29,127.452880859375,60.461181640625 
39,127.452880859375,60.461181640625 
49,127.452880859375,60.461181640625 
59,127.452880859375,60.461181640625 
69,121.88916015625,57.2099609375 
79,121.88916015625,57.2099609375 
89,121.88916015625,57.2099609375 
99,121.88916015625,57.2099609375 
109,121.88916015625,57.2099609375 
119,121.88916015625,57.2099609375 
129,121.88916015625,57.2099609375 
139,121.88916015625,57.2099609375 
149,121.88916015625,57.2099609375 
159,121.88916015625,57.2099609375 
169,121.88916015625,57.2099609375 
179,121.64013671875,57.2099609375 
