time,request,connect 
9,0.666666666666667,0.666666666666667 
19,0.222222222222222,0.222222222222222 
29,0.333333333333333,0.333333333333333 
39,0.111111111111111,0.111111111111111 
49,0.333333333333333,0.333333333333333 
59,0,0 
69,1,1 
79,1.22222222222222,1.22222222222222 
89,0.444444444444444,0.444444444444444 
99,1.22222222222222,1.22222222222222 
109,1.11111111111111,1.22222222222222 
119,1.55555555555556,1.44444444444444 
129,1.44444444444444,1.44444444444444 
139,0.888888888888889,0.888888888888889 
149,1.66666666666667,1.77777777777778 
159,0.555555555555556,0.444444444444444 
169,0,0 
179,2.55555555555556,2.77777777777778 
