time,request,connect 
9,1979.9565931985694,1979.8060642670682 
19,5.5166015625,8.571533203125 
29,5.33926352109862,3.996608234895199 
39,0.0,0.0 
49,19.103790028851922,14.841349416776596 
59,0,0 
69,6.129298913783671,3.4244885907448404 
79,2.524973893317405,2.405896489534097 
89,2.178273815006618,2.821931460835922 
99,3.6751143555883723,2.951235764243903 
109,8.278683655912323,5.661052579124677 
119,6.876708552520066,4.877503119396744 
129,6.826911650180034,4.03450085697062 
139,6.521099338549667,5.189754514301735 
149,17.1691226719275,8.74221769068587 
159,10.51638769300181,5.917487284145464 
169,0,0 
179,11.29427702565207,3.192933815119339 
