time,load@tsung_controller@Wonko-the-Sane 
0,1.6015625 
9,1.6015625 
19,1.61328125 
29,1.61328125 
39,1.61328125 
49,1.61328125 
59,1.61328125 
69,1.61328125 
79,1.61328125 
89,1.61328125 
99,1.61328125 
109,1.61328125 
119,1.61328125 
129,1.61328125 
139,1.61328125 
149,1.61328125 
159,1.61328125 
169,1.61328125 
179,1.61328125 
