time,request,connect 
9,1464.5050048828125,1394.6420084635417 
19,162.325439453125,73.301513671875 
29,133.73567708333334,69.343017578125 
39,146.778076171875,71.5458984375 
49,148.53556315104166,78.09334309895833 
59,0,0 
69,132.2109375,62.850016276041664 
79,131.35045276988637,63.64865944602273 
89,133.73272705078125,64.33746337890625 
99,133.77736594460228,64.85429243607955 
109,133.6078857421875,63.78289240056818 
119,138.35060337611608,65.80926983173077 
129,134.94523737980768,64.22620567908653 
139,137.55029296875,62.91998291015625 
149,146.44189453125,68.7510986328125 
159,176.19921875,84.3980712890625 
169,0,0 
179,133.91171662703803,61.606923828125 
