time,load@tsung_controller@Wonko-the-Sane 
0,0 
9,0.0 
19,0.0 
29,0.0 
39,0.0 
49,0.0 
59,0.0 
69,0.0 
79,0.0 
89,0.0 
99,0.0 
109,0.0 
119,0.0 
129,0.0 
139,0.0 
149,0.0 
159,0.0 
169,0.0 
179,0.0 
