time,freemem@tsung_controller@Wonko-the-Sane 
0,21.09765625 
9,21.09765625 
19,21.09765625 
29,21.09765625 
39,21.09765625 
49,21.09765625 
59,21.09765625 
69,21.09765625 
79,21.09765625 
89,21.09765625 
99,21.09765625 
109,19.86328125 
119,19.86328125 
129,19.86328125 
139,19.86328125 
149,19.86328125 
159,19.86328125 
169,19.86328125 
179,19.86328125 
