time,size_rcv,size_sent 
9,0.00520833333333333,0.75 
19,0.00173611111111111,0.25 
29,0.00260416666666667,0.381944444444444 
39,0.000868055555555556,0.125 
49,0.00260416666666667,0.381944444444444 
59,0,0 
69,0.0078125,1.13888888888889 
79,0.00954861111111111,1.38888888888889 
89,0.00347222222222222,0.520833333333333 
99,0.00954861111111111,1.38194444444444 
109,0.00868055555555556,1.38888888888889 
119,0.0121527777777778,1.63888888888889 
129,0.0112847222222222,1.64583333333333 
139,0.00694444444444444,1.00694444444444 
149,0.0130208333333333,2.02083333333333 
159,0.00434027777777778,0.513888888888889 
169,0,0 
179,0.0199652777777778,3.13888888888889 
