time,connect,request 
0,0.5,0.5 
10,0.1,0 
20,0.2,0.3 
30,0.1,0.1 
40,0.3,0.3 
50,0.3,0.2 
60,0,0.1 
70,0.2,0.2 
80,1.3,1.3 
90,1.3,1.2 
100,0.9,0.9 
110,1.5,1.5 
120,0.8,0.9 
130,0.6,0.5 
140,0.9,0.3 
150,1.4,1.7 
160,1.1,0.5 
170,0,1 
180,4.3,3.2 
189,5.7,6.8 
