time,size_rcv,size_sent 
0,0.03125,0.5625 
10,0.03125,0.675 
20,0.05,0.9 
30,0.05625,1.0125 
40,0.075,1.35625 
50,0.0875,1.7 
60,0.09375,1.7 
70,0.10625,1.925 
80,0.1875,3.4125 
90,0.2625,4.9 
100,0.31875,5.9125 
110,0.4125,7.61875 
120,0.46875,8.525 
130,0.5,9.2125 
140,0.51875,10.2375 
150,0.625,11.83125 
160,0.65625,13.08125 
170,0.71875,13.08125 
180,0.91875,17.96875 
189,1.34375,24.4625 
