time,users_count,finish_users_count 
0,0.5,0.5 
10,0.1,0.1 
20,0.2,0.2 
30,0.1,0.1 
40,0.4,0.3 
50,0.2,0.2 
60,0,0.1 
70,0.4,0.2 
80,1.1,1.3 
90,1.5,1.2 
100,1,0.9 
110,1.2,1.5 
120,0.8,0.9 
130,1.1,0.5 
140,1.5,0.4 
150,1,1.6 
160,0.4,0.5 
170,0,1 
180,5.8,3.2 
189,4.2,6.8 
