time,200 
0,5 
10,5 
20,8 
30,9 
40,12 
50,14 
60,15 
70,17 
80,30 
90,42 
100,51 
110,66 
120,75 
130,80 
140,83 
150,100 
160,105 
170,115 
180,147 
189,215 
