time,freemem@tsung_controller_96@Wonko-the-Sane 
0,25.3671875 
10,21.296875 
20,17.203125 
30,17.203125 
40,17.203125 
50,17.203125 
60,17.203125 
70,17.203125 
80,16.22265625 
90,16.22265625 
100,16.22265625 
110,16.22265625 
120,16.22265625 
130,16.22265625 
140,16.22265625 
150,16.22265625 
160,16.22265625 
170,16.22265625 
180,16.22265625 
190,16.22265625 
200,16.22265625 
210,16.22265625 
220,16.22265625 
230,16.22265625 
240,16.22265625 
250,16.22265625 
260,16.22265625 
270,16.22265625 
280,16.22265625 
290,16.22265625 
300,16.22265625 
310,16.22265625 
320,16.22265625 
330,16.22265625 
340,16.22265625 
350,16.22265625 
360,16.22265625 
370,16.22265625 
380,16.22265625 
390,16.22265625 
400,16.22265625 
410,16.22265625 
420,16.22265625 
430,16.22265625 
440,16.22265625 
450,16.22265625 
460,16.22265625 
470,16.22265625 
480,16.22265625 
490,16.22265625 
500,16.22265625 
510,16.22265625 
520,16.22265625 
530,16.22265625 
540,15.375 
550,15.375 
560,15.375 
570,15.375 
580,15.375 
590,15.375 
600,15.375 
610,15.375 
620,15.375 
630,15.375 
640,15.375 
650,15.375 
660,15.375 
670,15.375 
680,15.375 
690,15.375 
700,15.375 
710,15.375 
720,15.375 
730,15.375 
740,15.375 
750,15.375 
760,15.375 
770,15.375 
780,15.375 
790,15.375 
