time,page 
0,185.552978515625 
10,185.552978515625 
20,185.552978515625 
30,185.552978515625 
40,185.552978515625 
50,185.552978515625 
60,185.552978515625 
70,185.552978515625 
80,185.552978515625 
90,185.552978515625 
100,185.552978515625 
110,1116.513916015625 
120,1116.513916015625 
130,1116.513916015625 
140,1116.513916015625 
150,1116.513916015625 
160,1116.513916015625 
170,1116.513916015625 
180,1116.513916015625 
190,1116.513916015625 
200,1116.513916015625 
210,1116.513916015625 
220,1116.513916015625 
230,1116.513916015625 
240,1116.513916015625 
250,1116.513916015625 
260,1116.513916015625 
270,1116.513916015625 
280,1116.513916015625 
290,1116.513916015625 
300,1116.513916015625 
310,1116.513916015625 
320,1116.513916015625 
330,1116.513916015625 
340,1116.513916015625 
350,1116.513916015625 
360,1116.513916015625 
370,1116.513916015625 
380,1116.513916015625 
390,1116.513916015625 
400,1116.513916015625 
410,1116.513916015625 
420,1116.513916015625 
430,1116.513916015625 
440,1116.513916015625 
450,1116.513916015625 
460,1116.513916015625 
470,1116.513916015625 
480,1116.513916015625 
490,1116.513916015625 
500,1116.513916015625 
510,1116.513916015625 
520,1116.513916015625 
530,1116.513916015625 
540,1116.513916015625 
550,1116.513916015625 
560,1116.513916015625 
570,1116.513916015625 
580,1116.513916015625 
590,1116.513916015625 
600,1116.513916015625 
610,1116.513916015625 
620,1116.513916015625 
630,1116.513916015625 
640,1116.513916015625 
650,1116.513916015625 
660,1116.513916015625 
670,1116.513916015625 
680,1116.513916015625 
690,1116.513916015625 
700,1116.513916015625 
710,1116.513916015625 
720,1116.513916015625 
730,1116.513916015625 
740,1116.513916015625 
750,1116.513916015625 
760,1116.513916015625 
770,1116.513916015625 
780,1116.513916015625 
790,1116.513916015625 
793,1116.513916015625 
