time,page 
0,147.7034912109375 
10,109.937744140625 
20,104.278076171875 
30,0 
40,127.24129231770833 
50,119.167724609375 
60,123.51627604166667 
70,109.51162109375 
80,114.93440755208333 
90,107.03047688802083 
100,110.60999348958333 
110,193.69694010416666 
120,106.77605646306819 
130,107.92516276041667 
140,106.27487521701389 
150,106.37607421875 
160,0 
170,0 
180,113.50320521763393 
190,111.97493489583333 
200,0 
210,0 
220,0 
230,0 
240,0 
250,0 
260,0 
270,0 
280,0 
290,0 
300,116.7574462890625 
310,110.20050048828125 
320,102.551025390625 
330,108.31396484375 
340,109.179931640625 
350,139.501953125 
360,104.31103515625 
370,118.81047712053571 
380,105.623291015625 
390,106.2265625 
400,110.78463309151786 
410,104.6858154296875 
420,110.22083629261364 
430,111.67697975852273 
440,118.399365234375 
450,108.33876953125 
460,109.2603400735294 
470,110.5326171875 
480,107.2274969692888 
490,106.85879387654049 
500,0 
510,0 
520,0 
530,0 
540,0 
550,0 
560,0 
570,0 
580,0 
590,0 
600,119.0859375 
610,107.5166015625 
620,104.9990234375 
630,107.827978515625 
640,0 
650,0 
660,109.47471400669643 
670,107.45028250558036 
680,111.38894314236111 
690,107.75167142427884 
700,106.65946821732955 
710,113.01582845052083 
720,107.8694091796875 
730,106.4327880859375 
740,110.66153971354167 
750,118.1650390625 
760,0 
770,0 
780,106.4826904296875 
790,139.91395786830358 
793,0 
