time,connect,request 
0,56.27490234375,109.85400390625 
10,47.916015625,106.6171875 
20,47.916015625,104.278076171875 
30,47.916015625,104.278076171875 
40,47.916015625,103.69189453125 
50,47.916015625,103.69189453125 
60,47.916015625,103.69189453125 
70,47.602783203125,99.696044921875 
80,46.089111328125,99.4580078125 
90,46.089111328125,99.4580078125 
100,46.089111328125,99.4580078125 
110,46.089111328125,99.4580078125 
120,46.089111328125,99.4580078125 
130,46.089111328125,99.4580078125 
140,46.089111328125,99.4580078125 
150,46.089111328125,99.4580078125 
160,46.089111328125,99.4580078125 
170,46.089111328125,99.4580078125 
180,44.9619140625,95.700927734375 
190,44.9619140625,95.700927734375 
200,44.9619140625,95.700927734375 
210,44.9619140625,95.700927734375 
220,44.9619140625,95.700927734375 
230,44.9619140625,95.700927734375 
240,44.9619140625,95.700927734375 
250,44.9619140625,95.700927734375 
260,44.9619140625,95.700927734375 
270,44.9619140625,95.700927734375 
280,44.9619140625,95.700927734375 
290,44.9619140625,95.700927734375 
300,44.9619140625,95.700927734375 
310,44.9619140625,95.700927734375 
320,44.9619140625,95.700927734375 
330,44.9619140625,95.700927734375 
340,44.9619140625,95.700927734375 
350,44.9619140625,95.700927734375 
360,44.9619140625,95.700927734375 
370,44.9619140625,95.700927734375 
380,44.9619140625,95.700927734375 
390,44.9619140625,95.700927734375 
400,44.9619140625,95.700927734375 
410,44.9619140625,95.700927734375 
420,44.9619140625,95.700927734375 
430,44.9619140625,95.700927734375 
440,44.9619140625,95.700927734375 
450,44.9619140625,95.700927734375 
460,44.9619140625,95.700927734375 
470,44.9619140625,95.700927734375 
480,44.9619140625,95.700927734375 
490,44.9619140625,93.8310546875 
500,44.9619140625,93.8310546875 
510,44.9619140625,93.8310546875 
520,44.9619140625,93.8310546875 
530,44.9619140625,93.8310546875 
540,44.9619140625,93.8310546875 
550,44.9619140625,93.8310546875 
560,44.9619140625,93.8310546875 
570,44.9619140625,93.8310546875 
580,44.9619140625,93.8310546875 
590,44.9619140625,93.8310546875 
600,44.9619140625,93.8310546875 
610,44.9619140625,93.8310546875 
620,44.9619140625,93.8310546875 
630,44.9619140625,93.8310546875 
640,44.9619140625,93.8310546875 
650,44.9619140625,93.8310546875 
660,44.9619140625,93.8310546875 
670,44.9619140625,93.8310546875 
680,44.9619140625,93.8310546875 
690,44.9619140625,93.8310546875 
700,44.9619140625,93.8310546875 
710,44.9619140625,93.8310546875 
720,44.9619140625,93.8310546875 
730,44.9619140625,93.8310546875 
740,44.9619140625,93.8310546875 
750,44.9619140625,93.8310546875 
760,44.9619140625,93.8310546875 
770,44.9619140625,93.8310546875 
780,44.9619140625,93.8310546875 
790,44.9619140625,93.8310546875 
793,44.9619140625,93.8310546875 
