time,connect,request 
0,126.68798828125,185.552978515625 
10,126.68798828125,185.552978515625 
20,126.68798828125,185.552978515625 
30,126.68798828125,185.552978515625 
40,126.68798828125,185.552978515625 
50,126.68798828125,185.552978515625 
60,126.68798828125,185.552978515625 
70,126.68798828125,185.552978515625 
80,126.68798828125,185.552978515625 
90,126.68798828125,185.552978515625 
100,126.68798828125,185.552978515625 
110,1054.98291015625,1116.513916015625 
120,1054.98291015625,1116.513916015625 
130,1054.98291015625,1116.513916015625 
140,1054.98291015625,1116.513916015625 
150,1054.98291015625,1116.513916015625 
160,1054.98291015625,1116.513916015625 
170,1054.98291015625,1116.513916015625 
180,1054.98291015625,1116.513916015625 
190,1054.98291015625,1116.513916015625 
200,1054.98291015625,1116.513916015625 
210,1054.98291015625,1116.513916015625 
220,1054.98291015625,1116.513916015625 
230,1054.98291015625,1116.513916015625 
240,1054.98291015625,1116.513916015625 
250,1054.98291015625,1116.513916015625 
260,1054.98291015625,1116.513916015625 
270,1054.98291015625,1116.513916015625 
280,1054.98291015625,1116.513916015625 
290,1054.98291015625,1116.513916015625 
300,1054.98291015625,1116.513916015625 
310,1054.98291015625,1116.513916015625 
320,1054.98291015625,1116.513916015625 
330,1054.98291015625,1116.513916015625 
340,1054.98291015625,1116.513916015625 
350,1054.98291015625,1116.513916015625 
360,1054.98291015625,1116.513916015625 
370,1054.98291015625,1116.513916015625 
380,1054.98291015625,1116.513916015625 
390,1054.98291015625,1116.513916015625 
400,1054.98291015625,1116.513916015625 
410,1054.98291015625,1116.513916015625 
420,1054.98291015625,1116.513916015625 
430,1054.98291015625,1116.513916015625 
440,1054.98291015625,1116.513916015625 
450,1054.98291015625,1116.513916015625 
460,1054.98291015625,1116.513916015625 
470,1054.98291015625,1116.513916015625 
480,1054.98291015625,1116.513916015625 
490,1054.98291015625,1116.513916015625 
500,1054.98291015625,1116.513916015625 
510,1054.98291015625,1116.513916015625 
520,1054.98291015625,1116.513916015625 
530,1054.98291015625,1116.513916015625 
540,1054.98291015625,1116.513916015625 
550,1054.98291015625,1116.513916015625 
560,1054.98291015625,1116.513916015625 
570,1054.98291015625,1116.513916015625 
580,1054.98291015625,1116.513916015625 
590,1054.98291015625,1116.513916015625 
600,1054.98291015625,1116.513916015625 
610,1054.98291015625,1116.513916015625 
620,1054.98291015625,1116.513916015625 
630,1054.98291015625,1116.513916015625 
640,1054.98291015625,1116.513916015625 
650,1054.98291015625,1116.513916015625 
660,1054.98291015625,1116.513916015625 
670,1054.98291015625,1116.513916015625 
680,1054.98291015625,1116.513916015625 
690,1054.98291015625,1116.513916015625 
700,1054.98291015625,1116.513916015625 
710,1054.98291015625,1116.513916015625 
720,1054.98291015625,1116.513916015625 
730,1054.98291015625,1116.513916015625 
740,1054.98291015625,1116.513916015625 
750,1054.98291015625,1116.513916015625 
760,1054.98291015625,1116.513916015625 
770,1054.98291015625,1116.513916015625 
780,1054.98291015625,1116.513916015625 
790,1054.98291015625,1116.513916015625 
793,1054.98291015625,1116.513916015625 
