time,301 
0,2 
10,5 
20,6 
30,6 
40,9 
50,12 
60,18 
70,28 
80,40 
90,46 
100,61 
110,73 
120,84 
130,99 
140,108 
150,113 
160,113 
170,113 
180,183 
190,213 
200,213 
210,213 
220,213 
230,213 
240,213 
250,213 
260,213 
270,213 
280,213 
290,213 
300,217 
310,221 
320,222 
330,223 
340,225 
350,226 
360,227 
370,234 
380,241 
390,249 
400,263 
410,273 
420,284 
430,295 
440,300 
450,305 
460,322 
470,327 
480,356 
490,427 
500,427 
510,427 
520,427 
530,427 
540,427 
550,427 
560,427 
570,427 
580,427 
590,427 
600,429 
610,432 
620,437 
630,442 
640,442 
650,442 
660,449 
670,463 
680,472 
690,485 
700,496 
710,508 
720,518 
730,528 
740,537 
750,542 
760,542 
770,542 
780,572 
790,642 
793,642 
