time,session 
0,203.946044921875 
10,203.946044921875 
20,203.946044921875 
30,203.946044921875 
40,203.946044921875 
50,203.946044921875 
60,203.946044921875 
70,203.946044921875 
80,203.946044921875 
90,203.946044921875 
100,203.946044921875 
110,1119.177978515625 
120,1119.177978515625 
130,1119.177978515625 
140,1119.177978515625 
150,1119.177978515625 
160,1119.177978515625 
170,1119.177978515625 
180,1119.177978515625 
190,1119.177978515625 
200,1119.177978515625 
210,1119.177978515625 
220,1119.177978515625 
230,1119.177978515625 
240,1119.177978515625 
250,1119.177978515625 
260,1119.177978515625 
270,1119.177978515625 
280,1119.177978515625 
290,1119.177978515625 
300,1119.177978515625 
310,1119.177978515625 
320,1119.177978515625 
330,1119.177978515625 
340,1119.177978515625 
350,1119.177978515625 
360,1119.177978515625 
370,1119.177978515625 
380,1119.177978515625 
390,1119.177978515625 
400,1119.177978515625 
410,1119.177978515625 
420,1119.177978515625 
430,1119.177978515625 
440,1119.177978515625 
450,1119.177978515625 
460,1119.177978515625 
470,1119.177978515625 
480,1119.177978515625 
490,1119.177978515625 
500,1119.177978515625 
510,1119.177978515625 
520,1119.177978515625 
530,1119.177978515625 
540,1119.177978515625 
550,1119.177978515625 
560,1119.177978515625 
570,1119.177978515625 
580,1119.177978515625 
590,1119.177978515625 
600,1119.177978515625 
610,1119.177978515625 
620,1119.177978515625 
630,1119.177978515625 
640,1119.177978515625 
650,1119.177978515625 
660,1119.177978515625 
670,1119.177978515625 
680,1119.177978515625 
690,1119.177978515625 
700,1119.177978515625 
710,1119.177978515625 
720,1119.177978515625 
730,1119.177978515625 
740,1119.177978515625 
750,1119.177978515625 
760,1119.177978515625 
770,1119.177978515625 
780,1119.177978515625 
790,1119.177978515625 
793,1119.177978515625 
