time,session 
0,45.944580078125 
10,2.1455752671251243 
20,0.0 
30,0 
40,18.406900398710334 
50,11.446035325997098 
60,15.37508968690664 
70,7.91775887559801 
80,16.432563751316394 
90,4.539004530413396 
100,5.946330640437297 
110,278.48313037173216 
120,5.304809446426719 
130,5.464157452350832 
140,5.535663085055781 
150,2.777966516692217 
160,0 
170,0 
180,10.311946947551984 
190,6.976513472790467 
200,0 
210,0 
220,0 
230,0 
240,0 
250,0 
260,0 
270,0 
280,0 
290,0 
300,17.083778792675428 
310,2.442895941385873 
320,0.0 
330,0.0 
340,6.1514892578125 
350,0.0 
360,0.0 
370,35.00821284816396 
380,3.7485165795461297 
390,2.6737247541971794 
400,8.328681347964153 
410,4.656008727011928 
420,7.046426632526826 
430,4.812660525675446 
440,18.244745725123217 
450,5.857213901186938 
460,10.84010670022549 
470,9.108929080419875 
480,6.19280204350593 
490,6.4710686141842535 
500,0 
510,0 
520,0 
530,0 
540,0 
550,0 
560,0 
570,0 
580,0 
590,0 
600,15.85546875 
610,1.3846255890571215 
620,1.9141909971117748 
630,3.553125030866503 
640,0 
650,0 
660,4.978961447647743 
670,7.160084833679428 
680,5.849272882734068 
690,3.980026556457657 
700,5.931671805904306 
710,8.118998359165033 
720,5.714714808618691 
730,4.1170933962669904 
740,13.02730883444791 
750,13.181853903026969 
760,0 
770,0 
780,4.135436957819601 
790,104.73684850647697 
793,0 
