time,page 
0,37.8494873046875 
10,2.4204828588604657 
20,0.0 
30,0 
40,18.33559491014872 
50,11.219434579135665 
60,15.334098958124628 
70,7.84391635110456 
80,16.882885637918776 
90,4.43068917517519 
100,5.979818020342475 
110,278.32134374438334 
120,5.41091624665871 
130,5.569891900722526 
140,5.718641194910054 
150,2.727448544528257 
160,0 
170,0 
180,10.331837805471467 
190,7.2179725058547755 
200,0 
210,0 
220,0 
230,0 
240,0 
250,0 
260,0 
270,0 
280,0 
290,0 
300,17.075720637429832 
310,2.5422559015899258 
320,0.0 
330,0.0 
340,6.014892578125 
350,0.0 
360,0.0 
370,34.86324801030017 
380,3.8050936960178134 
390,2.6241875651472175 
400,8.347647996773631 
410,4.80983144720824 
420,6.853309719662334 
430,4.769255010832777 
440,18.26491050491003 
450,5.695604290388239 
460,10.797272638234318 
470,8.989936572870585 
480,6.384669090291985 
490,6.350741898076876 
500,0 
510,0 
520,0 
530,0 
540,0 
550,0 
560,0 
570,0 
580,0 
590,0 
600,16.030029296875 
610,1.728765862521539 
620,1.8669704742078876 
630,3.6330776277003487 
640,0 
650,0 
660,4.9921970104792015 
670,7.144142806308861 
680,5.190311621624601 
690,4.575115222857094 
700,5.585176252638157 
710,8.061291673608293 
720,5.872405749062388 
730,4.662456864893811 
740,13.084376319387331 
750,13.133326199189941 
760,0 
770,0 
780,3.9808098106778673 
790,100.78985753499734 
793,0 
