time,connected,users 
0,0,2 
10,1,2 
20,-1,2 
30,0,2 
40,0,2 
50,1,2 
60,-1,2 
70,0,2 
80,0,4 
90,1,4 
100,0,4 
110,0,5 
120,-1,5 
130,1,6 
140,6,18 
150,-3,19 
160,6,19 
170,-10,19 
180,11,26 
189,-11,38 
