time,connected,users 
0,0,0 
10,1,0 
20,0,0 
30,0,0 
40,0,1 
50,1,1 
60,0,0 
70,0,2 
80,0,0 
90,1,3 
100,1,4 
110,1,1 
120,0,0 
130,1,6 
140,7,17 
150,4,11 
160,10,10 
170,0,0 
180,11,26 
189,0,0 
