time,users_count,finish_users_count 
0,5,5 
10,6,6 
20,8,8 
30,9,9 
40,13,12 
50,15,14 
60,15,15 
70,19,17 
80,30,30 
90,45,42 
100,55,51 
110,67,66 
120,75,75 
130,86,80 
140,101,84 
150,111,100 
160,115,105 
170,115,115 
180,173,147 
189,215,215 
