time,size_rcv,size_sent 
0,0.03125,0.5625 
10,0,0.1125 
20,0.01875,0.225 
30,0.00625,0.1125 
40,0.01875,0.34375 
50,0.0125,0.34375 
60,0.00625,0 
70,0.0125,0.225 
80,0.08125,1.4875 
90,0.075,1.4875 
100,0.05625,1.0125 
110,0.09375,1.70625 
120,0.05625,0.90625 
130,0.03125,0.6875 
140,0.01875,1.025 
150,0.10625,1.59375 
160,0.03125,1.25 
170,0.0625,0 
180,0.2,4.8875 
189,0.425,6.49375 
