time,size_rcv,size_sent 
0,0.0015625,0.225 
10,0.0015625,0.3375 
20,0.00546875,0.7875 
30,0.00859375,1.24375 
40,0.01015625,1.46875 
50,0.01171875,1.7 
60,0.01484375,2.15625 
70,0.02265625,3.4125 
80,0.0328125,4.7875 
90,0.04453125,6.48125 
100,0.05078125,7.61875 
110,0.059375,8.6375 
120,0.06796875,10.00625 
130,0.0765625,11.14375 
140,0.08671875,12.61875 
150,0.08984375,13.08125 
160,0.08984375,13.08125 
170,0.08984375,13.08125 
180,0.153125,22.41875 
187,0.16796875,24.4625 
