time,users,connected 
0,1,0 
10,1,1 
20,3,-1 
30,3,0 
40,3,0 
50,3,0 
60,3,0 
70,3,1 
80,3,-1 
90,3,0 
100,3,2 
110,3,-2 
120,3,1 
130,3,-1 
140,3,0 
150,3,0 
160,3,0 
170,3,0 
180,6,1 
187,6,-1 
