time,load@tsung_controller_73@Wonko-the-Sane 
0,1.5 
10,1.5 
20,1.5 
30,1.5 
40,1.5 
50,1.5 
60,1.5 
70,1.5 
80,1.5 
90,1.5 
100,1.5 
110,1.5 
120,1.5 
130,1.453125 
140,1.30859375 
150,1.30859375 
160,1.28125 
170,1.28125 
180,1.28125 
187,1.28125 
