time,finish_users_count,users_count 
0,0.2,0.2 
10,0,0.1 
20,0.5,0.4 
30,0.4,0.4 
40,0.2,0.2 
50,0.2,0.2 
60,0.4,0.4 
70,1.1,1.1 
80,1.2,1.4 
90,1.5,1.3 
100,0.8,1 
110,1.1,0.9 
120,1.1,1.2 
130,1.2,1.1 
140,1.3,1.3 
150,0.3,0.3 
160,0,0 
170,0,0 
180,8.2,8.6 
187,1.8,1.4 
