time,connect,request 
0,103.455078125,788.3944091796875 
10,63.219970703125,0 
20,73.85076904296875,977.260693359375 
30,59.81866455078125,679.1284790039063 
40,60.3370361328125,611.7650146484375 
50,64.175048828125,731.3389892578125 
60,61.977294921875,707.676025390625 
70,64.860107421875,710.5115234375 
80,61.04791259765625,381.81742037259613 
90,62.62268880208333,735.1672526041667 
100,66.6042724609375,1060.6068420410156 
110,70.00925021701389,835.8580655184659 
120,65.69661458333333,256.1950017755682 
130,62.978369140625,258.9569202769886 
140,64.18994140625,383.47787710336536 
150,61.68048095703125,152.5885009765625 
160,0,0 
170,0,0 
180,61.593979254001525,188.36444468557104 
187,61.8629150390625,157.55756578947367 
