time,error_connect_etimedout 
150,0.1 
160,0 
170,0 
180,0 
190,0 
200,0 
210,0 
220,0 
230,0.1 
240,0.1 
250,0 
260,0 
270,0.1 
280,0.1 
290,0 
300,0.2 
310,0 
320,0 
330,0.5 
340,0.6 
350,0 
360,0 
370,0 
380,0 
390,0 
400,0 
410,0 
420,0.1 
430,0 
440,0 
450,0.1 
460,0 
470,0 
480,0 
490,0 
500,0 
510,0 
520,0 
524,0 
