time,connect,request 
0,31.759058735319673, 
10,0.0814208984375,95.2400232236272 
20,0,2.42041015625 
30,0.0,0 
40,0.0,0.0 
50,16.644216006138425,183.56128441746503 
60,0.10588262536478679,0.0 
70,24961.636200598725,396.73336401726306 
80,1.0570404618726381,26491.504253727082 
90,0.5013218743682318,920.8518636970692 
100,6.124463327817773,649.2173527881888 
110,26955.955697061356,20081.03182506051 
120,1.0737326953851933,289.67608604244856 
130,4.078622278064012,555.3051251575133 
140,29207.502171284475,480.6143163513568 
150,31551.211529564975,35228.50689054061 
160,30121.48239959223,24749.44665620469 
170,3944.495589789249,37864.6969826175 
180,32278.032496754313,3599.367564475041 
190,21787.194806972002,25533.71752580473 
200,3792.770323603509,25758.84785292397 
210,33760.56005859375,0.0 
220,3631.7958743509034,22565.728273726745 
230,4027.593017578125,20803.548043355284 
240,0.0,23223.768563855854 
250,2290.5855751774657,0.0 
260,3526.5623178151905,12474.563913533248 
270,0.0,41110.87221892263 
280,0.0,51511.75455697811 
290,0.429931640625,0 
300,35703.70893453845,0.0 
310,0,16214.500650435515 
320,13.476016913284223,0.0 
330,63730.084924056144,84.79435965494625 
340,0.7203041641969427,67192.16477831472 
350,0,23.315110162752465 
360,0,0.0 
370,0.0,0 
380,0,0.0 
390,0,2778.8162977845213 
400,4017.4169921875,0.0 
410,4020.592529296875,3944.6493606842123 
420,0.0,37504.175537109375 
430,0,0 
440,0,0 
450,0,0 
460,0,0 
470,0,0 
480,0,0 
490,0,0 
500,0,0 
510,0,0 
520,0.0,0 
524,0,0.0 
