time,connect,request 
0,138.65283203125,218.342041015625 
10,61.901123046875,126.610107421875 
20,61.670084635416664,134.615966796875 
30,65.43098958333333,135.35432942708334 
40,0,0 
50,58.282958984375,125.926025390625 
60,60.5689697265625,131.3880615234375 
70,0,0 
80,0,0 
90,62.247900390625,130.552685546875 
100,62.755702427455354,129.7818603515625 
110,66.16840069110577,136.02912785456732 
120,61.570587158203125,131.4183349609375 
130,62.94041224888393,137.74248395647322 
140,67.45699055989583,147.31144205729166 
150,66.03233753551136,136.91750266335228 
160,63.91340519831731,135.784423828125 
170,60.961151123046875,130.01177978515625 
180,62.4554443359375,132.26231445312504 
190,61.59011325588474,131.27170347556086 
195,0,0 
