time,finish_users_count,users_count 
0,0.1,0.1 
10,0.1,0.1 
20,0.3,0.3 
30,0.3,0.3 
40,0,0 
50,0.1,0.1 
60,0.2,0.2 
70,0,0 
80,0.1,0.2 
90,1,1 
100,1.3,1.2 
110,1.3,1.3 
120,0.8,0.8 
130,1.4,1.4 
140,0.6,0.6 
150,1.3,1.3 
160,1.1,1.1 
170,0.8,0.8 
180,2.7,2.9 
190,7.6,7.4 
195,0,0 
