time,finish_users_count,users_count 
0,1,1 
10,2,2 
20,5,5 
30,8,8 
40,8,8 
50,9,9 
60,11,11 
70,11,11 
80,12,13 
90,22,23 
100,35,35 
110,48,48 
120,56,56 
130,70,70 
140,76,76 
150,89,89 
160,100,100 
170,108,108 
180,135,137 
190,211,211 
195,211,211 
