time,connected,users 
0,0,1 
10,0,1 
20,0,1 
30,0,1 
40,0,1 
50,0,1 
60,0,1 
70,0,1 
80,0,1 
90,0,2 
100,0,4 
110,0,4 
120,0,4 
130,0,4 
140,0,4 
150,0,4 
160,0,4 
170,0,4 
180,1,5 
190,-1,5 
195,0,5 
