time,finish_users_count,users_count 
0,2,2 
10,2,3 
20,7,7 
30,11,11 
40,13,13 
50,15,15 
60,19,19 
70,30,30 
80,42,44 
90,57,57 
100,65,67 
110,76,76 
120,87,88 
130,99,99 
140,112,112 
150,115,115 
160,115,115 
170,115,115 
180,197,201 
187,215,215 
