time,freemem@tsung_controller_73@Wonko-the-Sane 
0,24.02734375 
10,34.0546875 
20,34.0546875 
30,34.0546875 
40,34.0546875 
50,34.0546875 
60,34.0546875 
70,34.0546875 
80,34.0546875 
90,34.0546875 
100,34.0546875 
110,34.0546875 
120,34.0546875 
130,34.0546875 
140,34.0546875 
150,34.0546875 
160,34.0546875 
170,34.0546875 
180,34.0546875 
187,34.0546875 
