time,users,connected 
0,0,0 
10,1,1 
20,0,0 
30,0,0 
40,0,0 
50,0,0 
60,0,0 
70,0,1 
80,2,0 
90,0,0 
100,2,2 
110,0,0 
120,1,1 
130,0,0 
140,0,0 
150,0,0 
160,0,0 
170,0,0 
180,4,1 
187,0,0 
