time,connected,users 
7,0,2 
17,0,2 
27,0,2 
37,0,2 
47,1,2 
57,-1,2 
67,0,2 
77,0,2 
87,0,2 
97,0,2 
107,0,2 
117,0,2 
127,0,2 
137,0,2 
147,0,2 
157,1,5 
165,-1,5 
