time,freemem@tsung_controller_113@Wonko-the-Sane 
0,20.06640625 
17,18.796875 
27,17.4765625 
37,17.4765625 
47,17.4765625 
57,17.4765625 
67,16.65234375 
77,16.65234375 
87,15.1171875 
97,14.9296875 
107,14.9296875 
117,14.9296875 
127,14.9296875 
137,14.9296875 
147,14.9296875 
157,14.9296875 
165,14.9296875 
