time,request,connect 
7,127.123046875,57.734130859375 
17,127.123046875,57.734130859375 
27,127.123046875,57.734130859375 
37,127.123046875,57.734130859375 
47,124.178955078125,57.339111328125 
57,122.465087890625,57.05810546875 
67,122.465087890625,57.05810546875 
77,122.465087890625,57.05810546875 
87,122.465087890625,57.05810546875 
97,122.465087890625,57.005859375 
107,122.465087890625,57.005859375 
117,122.465087890625,57.005859375 
127,122.465087890625,57.005859375 
137,122.465087890625,57.005859375 
147,122.465087890625,57.005859375 
157,121.47509765625,56.89404296875 
165,121.47509765625,56.89404296875 
