time,connected,users 
7,0,0 
17,0,0 
27,0,0 
37,0,0 
47,1,1 
57,0,0 
67,0,0 
77,0,0 
87,0,0 
97,0,0 
107,0,0 
117,0,1 
127,0,0 
137,0,0 
147,0,0 
157,1,1 
165,0,0 
