time,request,connect 
7,37760.473876953125,37687.92822265625 
17,37760.473876953125,37687.92822265625 
27,37760.473876953125,37687.92822265625 
37,37760.473876953125,37687.92822265625 
47,37760.473876953125,37687.92822265625 
57,37760.473876953125,37687.92822265625 
67,37760.473876953125,37687.92822265625 
77,37760.473876953125,37687.92822265625 
87,37760.473876953125,37687.92822265625 
97,37760.473876953125,37687.92822265625 
107,37760.473876953125,37687.92822265625 
117,37760.473876953125,37687.92822265625 
127,37760.473876953125,37687.92822265625 
137,37760.473876953125,37687.92822265625 
147,37760.473876953125,37687.92822265625 
157,37760.473876953125,37687.92822265625 
165,37760.473876953125,37687.92822265625 
