time,users_count,finish_users_count 
0,2,0 
0,2,0 
0,2,0 
0,2,0 
7,5,5 
17,9,9 
27,10,10 
37,12,12 
47,22,21 
57,34,34 
67,42,42 
77,49,49 
87,54,54 
97,62,62 
107,69,69 
117,74,73 
127,79,79 
137,90,90 
147,100,100 
157,177,176 
165,203,203 
