time,request,connect 
7,7662.023583984375,7592.099462890625 
17,128.6483154296875,61.6099853515625 
27,132.85009765625,65.446044921875 
37,130.6434326171875,60.504638671875 
47,130.18499755859375,60.89219835069444 
57,132.609375,61.68180964543269 
67,135.69314575195313,62.699493408203125 
77,134.63905552455358,61.94203404017857 
87,131.70947265625,61.217626953125 
97,133.79293823242188,63.52557373046874 
107,135.99247233072916,63.621541341145836 
117,133.876220703125,62.523974609375 
127,136.38411458333334,63.389485677083336 
137,129.59443803267047,60.50350674715909 
147,136.20068359375,67.9959716796875 
157,135.749755859375,63.95160554584704 
165,132.13072858537947,62.97790075231482 
