time,request,connect 
7,15049.231319684088,15047.921147811454 
17,1.1826511885325173,2.528055639105302 
27,0.0,0.0 
37,3.0714111328125,0.732421875 
47,4.112486060080484,3.723359714066953 
57,6.182124466363807,3.4598691978752822 
67,14.823822105859794,7.16195833182404 
77,5.832718065102031,5.295909938126415 
87,2.8036258398924976,2.8289667071961984 
97,5.690371434918631,5.03203784471058 
107,8.128904764469699,4.19597623895658 
117,5.656193559059411,2.184142977680558 
127,10.89936487011533,4.652070729383383 
137,3.1531539462295433,2.6916201187741735 
147,16.601128632025922,14.185366026523766 
157,13.083103395838828,7.3797584632726565 
165,5.955355007168337,4.242540597252455 
